ID,Nama,Harga,Tipe,Tersedia,Attrib1,Attrib2
F01,Nasi Goreng,25000.0,makanan,true,Sedang,Main Course
F02,Mie Goreng,20000.0,makanan,true,Pedas,Main Course
F03,Ayam Goreng,18000.0,makanan,true,Tidak Pedas,Main Course
F04,Capcay,22000.0,makanan,true,Tidak Pedas,Main Course
F05,Sate Ayam,27000.0,makanan,true,Sedang,Main Course
F06,Nasi Campur,30000.0,makanan,true,Tidak Pedas,Main Course
F07,Martabak Telur,15000.0,makanan,true,Pedas,Snack
F08,Martabak Manis,20000.0,makanan,true,Tidak Pedas,Dessert
F09,Risoles,12000.0,makanan,true,Tidak Pedas,Snack
F10,Bakso,25000.0,makanan,true,Sedang,Main Course
D01,Es Teh,5000.0,minuman,true,Medium,Dingin
D02,Jus Jeruk,8000.0,minuman,true,Large,Dingin
D03,Kopi,12000.0,minuman,true,Small,Panas
D04,Air,3000.0,minuman,true,Small,Dingin
D05,Es Kopi,15000.0,minuman,true,Medium,Dingin
D06,Teh Panas,5000.0,minuman,true,Small,Panas
D07,Jus Alpukat,12000.0,minuman,true,Large,Dingin
D08,Chocolate Milkshake,15000.0,minuman,true,Medium,Dingin
D09,Teh Tarik,10000.0,minuman,true,Medium,Panas
D10,Air Mineral Botol,4000.0,minuman,true,Small,Dingin
